"Gene_ID","WT_LP1:read count","WT_LP2:read count","WT_EP1:read count","WT_EP2:read count","WT_SP1:read count","WT_SP2:read count"
"gene-SAUSA300_RS01335",6610,6079,2075,1791,2877,2917
"gene-SAUSA300_RS01340",9784,10497,3438,3020,4156,4403
"gene-SAUSA300_RS01345",14898,15934,5505,4693,6477,6630
"gene-SAUSA300_RS01350",1668,1776,2986,2711,640,695
"gene-SAUSA300_RS01355",2051,2156,1330,1186,776,785
"gene-SAUSA300_RS01360",284,334,179,183,228,291
"gene-SAUSA300_RS01365",2630,2919,3336,2927,34,38
"gene-SAUSA300_RS01370",2877,3501,4259,4005,325,387
"gene-SAUSA300_RS01375",1173,1272,3143,2850,3293,3644
"gene-SAUSA300_RS01380",142,164,189,139,138,129
"gene-SAUSA300_RS01385",304,256,258,193,170,210
"gene-SAUSA300_RS01395",153,152,135,174,286,280
"gene-SAUSA300_RS01400",0,0,0,0,1,0
"gene-SAUSA300_RS01405",1160,1181,4049,3776,3096,3215
"gene-SAUSA300_RS01410",163,174,582,524,392,404
"gene-SAUSA300_RS01415",402,451,1919,1734,1118,1201
"gene-SAUSA300_RS01420",875,817,553,412,815,785
"gene-SAUSA300_RS01430",370,557,239,296,147,206
"gene-SAUSA300_RS01440",149,146,45,26,67,76
"gene-SAUSA300_RS01445",195,178,76,73,194,211
"gene-SAUSA300_RS01450",1378,1483,179,158,410,402
"gene-SAUSA300_RS01455",550,618,271,243,209,264
"gene-SAUSA300_RS01460",541,695,317,216,163,184
"gene-SAUSA300_RS01465",528,717,227,287,167,178
"gene-SAUSA300_RS01470",13491,16075,2611,2710,1213,1343
"gene-SAUSA300_RS01475",66,132,10,11,4,8
"gene-SAUSA300_RS01480",256,357,44,50,31,31
"gene-SAUSA300_RS01485",1217,1330,1660,1412,1420,1363
"gene-SAUSA300_RS01490",78458,81946,146933,140210,93556,98375
"gene-SAUSA300_RS01495",4506,4923,6074,5494,2755,2616
"gene-SAUSA300_RS01500",66,47,77,56,47,78
"gene-SAUSA300_RS01505",9,8,2,4,2,0
"gene-SAUSA300_RS01510",1826,2105,3056,3445,1382,1510
"gene-SAUSA300_RS01515",6306,6054,9307,8308,4448,4522
"gene-SAUSA300_RS01520",113,134,218,178,125,172
"gene-SAUSA300_RS01525",56,62,63,61,38,59
"gene-SAUSA300_RS01530",446,501,496,529,291,342
"gene-SAUSA300_RS01535",60,50,62,60,26,48
"gene-SAUSA300_RS01540",3547,3128,2956,2363,1667,1852
"gene-SAUSA300_RS01545",2360,3971,1614,2100,1529,2171
"gene-SAUSA300_RS01550",149,216,167,178,110,101
"gene-SAUSA300_RS01555",350,472,254,323,225,254
"gene-SAUSA300_RS01560",33,66,128,149,37,69
"gene-SAUSA300_RS01565",120,88,226,183,31,50
"gene-SAUSA300_RS01570",119,137,174,251,43,63
"gene-SAUSA300_RS01580",270,395,411,423,184,377
"gene-SAUSA300_RS01585",171,212,210,219,149,106
"gene-SAUSA300_RS01590",262,307,373,346,197,198
"gene-SAUSA300_RS01595",256,307,205,200,124,121
"gene-SAUSA300_RS01600",188,197,127,113,50,41
"gene-SAUSA300_RS01605",238,313,204,186,122,190
"gene-SAUSA300_RS01610",262,250,210,236,185,208
"gene-SAUSA300_RS01615",1583,2399,1638,2155,940,1045
"gene-SAUSA300_RS01620",3254,3454,3201,2885,1435,1540
"gene-SAUSA300_RS01625",7126,8362,4014,3565,1419,1463
"gene-SAUSA300_RS01630",7366,7360,1227,1027,554,511
"gene-SAUSA300_RS01635",5228,6658,1830,1930,4648,4832
