"gene_id","camSd69_rep1","camSd69_rep2","camSd69_rep3","camSKI_rep1","camSKI_rep2","camSKI_rep3","LAC_wt_rep1","LAC_wt_rep2","LAC_wt_rep3","LAC_ΔcamS_rep1","LAC_ΔcamS_rep2","LAC_ΔcamS_rep3"
"SAUSA300_RS02605",2914,3332,3340,3104,3883,2638,2616,3837,3759,2988,2691,3441
"SAUSA300_RS02610",4196,4568,4597,4199,5465,3865,3368,5709,4820,4628,4084,5039
"tilS",2821,3594,3190,1680,2187,1536,1259,2598,2125,2544,2839,3576
"hpt",4750,5053,4796,2319,3504,2307,2276,3892,2934,4321,4514,5556
"ftsH",55469,58575,58937,40275,52924,35295,35764,56438,42906,57875,54165,70476
"hslO",1508,1593,1620,1356,1625,1280,1126,1802,1721,1416,1541,1618
"cysK",48175,47536,59752,74175,87043,62363,59952,100899,93141,41799,41624,57535
"folP",853,843,924,1017,1321,886,807,1403,1370,748,801,954
"folB",363,359,417,362,517,391,267,475,610,321,303,488
"folK",1036,1108,1255,977,1235,871,793,1306,1323,1028,1046,1286
"SAUSA300_RS02655",4,7,3,2,1,0,1,3,0,4,0,0
"lysS",22563,21603,23770,16863,20688,15751,14439,23982,21408,21445,20625,26598
"SAUSA300_RS02695",249,193,313,177,319,161,173,249,222,242,240,292
"pdxS",9472,11500,11605,6512,8487,5689,5568,7663,8414,10521,9030,11920
"pdxT",9191,11344,11499,6061,8774,5712,5635,7689,7772,10532,8933,12224
"SAUSA300_RS02710",5120,6149,5466,2790,5271,2650,3335,5225,3640,5343,5949,6440
"SAUSA300_RS02715",2060,2827,2594,2275,3783,1882,1958,3225,2200,2499,1908,2717
"SAUSA300_RS02720",3576,4733,4309,3877,6083,3284,3169,5220,3708,4362,3190,4467
"SAUSA300_RS02725",5184,7504,6642,5113,8363,4004,4043,7060,5696,6313,4553,6905
"SAUSA300_RS02730",30070,37336,38313,25494,39372,21716,20392,34608,27779,34326,26937,38546
"radA",5772,6353,6822,5911,6957,5397,5021,7640,7110,5253,6098,7364
"SAUSA300_RS02745",2598,2440,2859,1956,2935,2065,1790,3258,2232,2294,2150,3277
"gltX",13544,13246,15418,11149,14079,9995,9800,15053,13653,13267,13414,17249
"cysE",5662,5984,5860,5645,6990,4644,4292,8202,6866,5221,6316,6264
"cysS",13837,13735,14321,12239,16141,10725,10807,19455,14764,13530,13683,16071
"SAUSA300_RS02765",5779,6169,5792,5138,6382,4401,4126,7641,6831,5456,5759,6266
"rlmB",11283,11399,11321,11088,12874,9011,9933,15446,13408,10109,11481,11886
"SAUSA300_RS02775",4321,4464,4384,3574,4390,3069,2998,5761,4605,3998,4159,4524
"SAUSA300_RS02780",2597,2697,2568,1851,2492,1523,1785,3329,1876,2183,2374,2894
"rpmG_1",510,528,602,408,506,374,191,646,464,543,500,589
"secE",804,786,964,634,911,538,501,1015,853,727,761,995
"nusG",17108,17753,18379,15220,19050,13105,13290,20321,17013,15489,17228,18784
"rplK",31476,30511,34441,26368,34253,23897,24060,34332,30255,28786,31556,36919
"rplA",28108,24551,31814,22256,29267,20046,21918,31468,24723,27230,25803,34148
"rplJ",9214,7825,13032,4135,4792,4284,4412,6390,5411,7073,8994,14622
"rplL",8881,8423,13141,4361,4917,4516,4114,6022,5624,7354,9490,13895
"SAUSA300_RS02815",725,929,813,643,809,526,642,873,667,656,751,937
"rpoB",83785,86421,101616,72261,88420,64021,71733,98557,77538,87720,81116,119031
"rpoC",84832,83608,108155,74475,94451,66311,74960,103633,80070,87359,74027,121937
"SAUSA300_RS02830",2585,2138,2760,1722,2100,1586,1743,2416,2310,1990,1891,3559
"rpsL",27833,28623,30234,19983,22311,18541,19385,26516,25746,26385,25984,39615
"rpsG",35839,32485,38929,24302,27360,23716,24163,31589,26976,31978,31308,48951
"fusA",167184,148335,183146,115362,126717,107409,119522,145780,134647,150081,152490,230523
"tuf",348711,315666,404624,279451,328675,262933,261358,355630,333525,311472,329328,437228
"SAUSA300_RS02855",1452,1388,1258,1396,1904,1204,1374,1722,1227,1420,1441,1533
"SAUSA300_RS02860",35000,38611,34492,39111,52356,34019,29884,54158,50042,35812,32684,35046
"hchA",8358,6615,11144,9349,10994,7423,9121,20085,13200,5750,6146,11519
"SAUSA300_RS02870",2199,2584,2473,1614,2102,1591,1315,2393,2256,2086,2157,2752
"SAUSA300_RS02875",11866,14440,15209,9677,13190,8936,9625,14007,12813,11597,12529,15902
"SAUSA300_RS02880",8360,9392,9693,9215,13418,8301,8247,14199,11924,9281,9168,10439
"SAUSA300_RS02885",3512,4128,4185,4165,5909,3464,3699,6191,5057,3945,4038,4705
"SAUSA300_RS02890",1067,1073,988,751,1143,503,707,1194,896,1086,1007,1184
"SAUSA300_RS02895",117,94,89,65,138,65,107,145,47,87,78,100
"tadA",403,390,330,346,527,310,312,543,379,316,363,363
"SAUSA300_RS02905",1375,1594,1213,983,1762,965,1097,1778,1309,1319,1410,1463
"SAUSA300_RS02910",1558,1842,1888,973,1524,1039,996,1633,1444,1492,1727,2144
"sdrC",668,678,695,742,868,672,600,804,820,616,586,733
"sdrD",758,953,807,836,1075,661,720,1178,974,732,724,856
"sdrE",2328,2429,2900,2033,2570,1888,1577,2582,2842,2235,2225,3070
"SAUSA300_RS02930",1840,1919,1950,1407,1810,1314,1448,2092,1575,1478,1590,1914
"SAUSA300_RS02935",6197,6464,6299,4941,6906,4554,5483,7787,5418,5274,5392,6395
"folE2",3465,3743,3865,2941,4205,2673,2566,4398,3020,3417,3604,4329
"bshB2",1521,1628,1868,1318,2178,1466,1390,2142,1450,1588,1656,2061
"SAUSA300_RS02950",1335,1411,1484,1221,1755,1276,1223,1604,1301,1265,1438,1527
"nagB",1510,1621,1648,1311,1693,1183,1154,1848,1512,1455,1385,1759
"hxlA",8607,9573,12690,15059,20580,16063,11544,22642,22448,7260,8005,11652
"hxlB",16926,18959,26155,33751,41550,33095,25629,43128,40518,13899,17105,23633
"SAUSA300_RS02970",64,67,56,57,104,52,41,107,104,44,36,41
"SAUSA300_RS02975",11240,12013,18004,17746,25497,16207,18593,28249,22114,11548,10464,16798
"SAUSA300_RS02985",297,327,245,280,388,247,246,360,295,316,289,348
"SAUSA300_RS02990",1098,1130,1101,974,1405,850,952,1412,1008,999,1021,1254
"SAUSA300_RS02995",104,102,84,67,92,58,65,73,70,67,105,109
"SAUSA300_RS03000",128,165,143,115,140,60,121,137,121,120,168,140
"vraX",14103,22442,18578,7021,9967,4490,5807,9839,3331,13302,12432,14717
"thiD_1",5907,6499,6475,5063,6231,4456,4565,7073,5492,5006,6430,7057
"SAUSA300_RS03015",1860,2182,2090,1262,1858,1108,1205,1970,1310,1718,2284,2412
"SAUSA300_RS03020",1228,1664,1508,957,1192,749,910,1295,976,1056,1651,1708
"SAUSA300_RS03025",1964,1976,2461,1705,2077,1490,1450,2191,2119,1901,2058,2696
"SAUSA300_RS03030",18522,18235,26525,25416,32390,26913,22085,37325,30276,13401,14888,25897
"SAUSA300_RS03035",791,922,1306,1258,1698,1064,1141,1763,1519,824,923,1340
"SAUSA300_RS03040",1408,1358,1764,1991,2869,1784,1789,2841,1986,1221,1209,1748
"SAUSA300_RS03045",4836,5590,6014,4045,6178,3715,3769,6629,5062,5679,5401,6729
