"gene_name","WT1","WT2","A1","A2"
"PA14_22120",56,32,207,265
"PA14_22130",4,1,46,36
"PA14_22160",1,0,6,8
"PA14_22190",7,7,59,39
"PA14_22210",8,4,45,56
"PA14_22230",4,0,19,19
"PA14_22270",226,160,1831,1788
"PA14_22280",22,15,175,160
"PA14_22290",8,11,83,96
"PA14_22310",5,9,96,134
"PA14_22320",5,3,56,52
"PA14_22330",16,16,117,110
"PA14_22340",36,30,239,216
"PA14_22350",43,31,74,99
"PA14_22370",11,6,29,39
"PA14_22380",2,3,3,13
"PA14_22400",18,9,32,31
"PA14_22410",10,11,64,68
"PA14_22420",9,4,20,20
"PA14_22440",1,5,37,35
"PA14_22450",4,3,12,26
"PA14_22460",1,0,5,5
"PA14_22470",1,1,10,7
"PA14_22480",30,19,121,84
"PA14_22490",6,1,17,18
"PA14_22500",1,1,1,18
"PA14_22510",1,2,2,6
"PA14_22520",4,4,23,20
"PA14_22530",25,20,59,63
"PA14_22540",18,12,43,52
"PA14_22550",80,48,230,217
"PA14_22560",1,6,14,16
"PA14_22570",0,0,4,4
"PA14_22580",1,0,12,18
"PA14_22590",1,0,16,15
"PA14_22600",3,4,13,17
"PA14_22620",1,4,13,14
"PA14_22630",4,0,6,4
"PA14_22640",22,15,126,99
"PA14_22650",0,0,1,8
"PA14_22660",0,2,6,5
"PA14_22670",2,0,2,4
"PA14_22680",2,1,2,10
"PA14_22690",5,7,15,22
"PA14_22700",1,1,8,8
"PA14_22710",4,3,42,44
"PA14_22720",7,6,59,56
"PA14_22730",4,4,36,39
"PA14_22740",2,0,14,13
"PA14_22760",0,0,4,3
"PA14_22770",1,0,5,11
"PA14_22780",0,0,0,2
"PA14_22800",48,40,46,61
"PA14_22820",10,11,110,121
"PA14_22830",11,13,15,32
"PA14_22840",61,39,97,119
"PA14_22860",18,16,76,83
"PA14_22870",28,20,211,254
"PA14_22880",6,4,28,38
"PA14_22890",2,1,31,11
"PA14_22910",537,366,1208,1168
"PA14_22930",364,278,885,1015
"PA14_22940",295,207,634,487
"PA14_22960",56,41,153,152
"PA14_22980",816,608,2279,2331
"PA14_22990",167,110,467,490
"PA14_23000",89,69,278,253
"PA14_23010",226,136,939,827
"PA14_23030",190,145,662,597
"PA14_23050",81,60,265,309
"PA14_23060",32,20,196,246
"PA14_23070",341,251,1608,1593
"PA14_23080",29,16,123,155
"PA14_23090",85,51,209,244
"PA14_23100",8,5,64,43
"PA14_23110",39,21,396,309
"PA14_23120",5,10,127,91
"PA14_23130",1,3,78,92
"PA14_23160",3,3,57,50
"PA14_23170",0,1,16,14
"PA14_23190",0,0,4,5
"PA14_23200",16,13,74,71
"PA14_23210",2,1,13,19
"PA14_23220",0,1,10,6
"PA14_23240",3,1,6,9
"PA14_23250",32,14,116,107
"PA14_23260",652,497,3076,3248
"PA14_23270",1025,642,2122,2348
"PA14_23280",339,228,590,560
"PA14_23290",50,37,108,118
"PA14_23310",132,103,370,373
"PA14_23320",300,175,624,593
"PA14_23330",3066,2136,18706,17651
"PA14_23340",75,55,468,605
"PA14_23350",55,50,334,413
"PA14_23360",1612,1062,4469,5061
"PA14_23370",2356,1565,4537,5420
"PA14_23380",4253,2810,6691,7107
"PA14_23390",1517,1045,3520,4280
"PA14_23400",1501,997,2009,2478
"PA14_23420",3664,2559,6354,6621
"PA14_23430",2429,1588,3378,3635
"PA14_23460",1056,835,2094,2433
"PA14_23470",1331,875,4039,4023
"PA14_23480",24,12,59,55
"PA14_23490",3,2,6,8
"PA14_23500",12,6,46,52
"PA14_23510",124,101,328,326
"PA14_23520",14,13,67,78
"PA14_23530",2,3,17,20
"PA14_23540",5,4,35,44
"PA14_23560",114,98,400,396
"PA14_23570",3722,3284,18246,12752
"PA14_23580",83,109,579,542
"PA14_23590",5,4,57,34
"PA14_23610",4,1,24,24
"PA14_23620",16,9,79,135
"PA14_23630",12,11,68,77
"PA14_23640",37,17,245,264
"PA14_23650",2,0,20,36
"PA14_23670",0,0,30,19
"PA14_23680",361,291,386,375
"PA14_23690",1,3,17,19
"PA14_23700",8,17,34,52
"PA14_23720",24,9,27,44
"PA14_23730",18,11,39,43
"PA14_23750",90,67,207,198
"PA14_23760",40,27,63,56
"PA14_23770",43,27,64,39
"PA14_23790",73,52,131,128
"PA14_23800",527,322,1380,1809
"PA14_23810",14,12,117,138
"PA14_23830",844,725,2724,3083
"PA14_23840",203,126,308,373
"PA14_23850",28,40,169,167
"PA14_23860",201,133,1464,1606
"PA14_23880",133,131,620,631
"PA14_23890",31,22,101,123
"PA14_23900",28,21,342,321
"PA14_23920",374,297,1485,1679
"PA14_23930",152,95,457,427
"PA14_23950",12,14,38,50
"PA14_23970",4,2,51,37
"PA14_23980",10,21,89,88
"PA14_23990",171,104,253,262
"PA14_24010",28,32,50,35
"PA14_24020",167,106,120,129
"PA14_24040",52,35,44,45
"PA14_24050",54,58,94,117
"PA14_24060",20,22,31,33
"PA14_24070",129,74,221,277
"PA14_24080",57,53,58,91
"PA14_24100",5,5,8,7
"PA14_24110",372,496,671,1051
"PA14_24120",309,538,642,1237
"PA14_24130",336,516,602,1141
"PA14_24140",0,0,13,26
"PA14_24150",2,2,22,22
"PA14_24170",16,5,26,36
"PA14_24180",29,25,33,51
"PA14_24190",13,6,25,27
"PA14_24210",1,1,25,20
"PA14_24220",66,42,258,278
"PA14_24230",57,47,127,129
"PA14_24240",24,17,50,49
"PA14_24245",65,36,257,270
"PA14_24260",150,108,320,335
"PA14_24270",375,266,614,565
"PA14_24290",139,118,521,386
"PA14_24300",63,54,181,150
"PA14_24310",11,11,52,49
"PA14_24330",56,31,200,160
"PA14_24340",4,1,9,5
"PA14_24350",1,2,5,8
"PA14_24360",26,18,40,45
"PA14_24370",1,0,8,17
"PA14_24380",5,0,15,17
"PA14_24390",0,2,3,6
"PA14_24400",1,0,3,5
"PA14_24410",1,0,0,0
"PA14_24420",0,0,1,3
"PA14_24430",2,4,9,8
"PA14_24440",8,8,25,31
"PA14_24445",2704,1909,3297,3545
"PA14_24480",2,2,31,31
"PA14_24490",8,10,42,40
"PA14_24500",9,5,21,16
"PA14_24510",5,2,8,12
"PA14_24530",1,0,5,6
"PA14_24550",11,5,24,28
"PA14_24560",12,7,21,16
"PA14_24580",61,36,175,194
"PA14_24590",56,37,148,184
"PA14_24600",15,9,36,36
"PA14_24610",2,0,13,12
"PA14_24620",1,3,5,0
"PA14_24630",1,2,7,7
"PA14_24640",23,18,276,276
"PA14_24650",18,13,210,277
"PA14_24690",4,9,31,32
"PA14_24700",100,63,271,228
"PA14_24710",26,12,78,104
"PA14_24720",6,13,48,29
"PA14_24730",3,1,11,14
"PA14_24760",0,0,1,5
"PA14_24770",2,0,0,2
"PA14_24780",0,2,6,12
"PA14_24790",11,7,39,28
"PA14_24810",2,4,11,21
"PA14_24820",4,0,20,23
"PA14_24830",0,1,2,5
"PA14_24840",34,23,309,320
"PA14_24850",8,9,82,90
"PA14_24860",1,7,43,62
"PA14_24880",4,2,5,5
"PA14_24890",4,1,10,7
"PA14_24900",17,16,57,76
"PA14_24910",61,46,157,143
"PA14_24920",13,8,34,51
"PA14_24940",20,12,55,52
"PA14_24950",12,14,40,38
"PA14_24960",26,17,27,36
"PA14_24970",18,10,26,24
"PA14_24980",60,62,75,89
"PA14_24990",18,6,11,17
"PA14_25000",20,9,74,97
"PA14_25020",61,50,451,391
"PA14_25030",30,18,507,557
"PA14_25040",2,0,68,62
"PA14_25050",0,5,35,32
"PA14_25060",3,3,52,93
"PA14_25080",1455,974,1540,1466
"PA14_25090",680,475,544,554
"PA14_25100",26,13,150,156
"PA14_25110",939,794,2570,2393
"PA14_25130",74,60,225,262
"PA14_25140",21,22,115,137
"PA14_25150",7,6,33,36
"PA14_25160",9,7,30,30
"PA14_25180",397,306,810,635
"PA14_25195",34,18,184,179
"PA14_25210",41,30,170,216
"PA14_25220",1,1,5,19
"PA14_25230",5,1,32,40
"PA14_25250",309,210,1573,1475
"PA14_25270",80,43,611,600
"PA14_25280",130,108,971,1011
"PA14_25305",73,51,334,351
"PA14_25320",59,44,268,301
"PA14_25330",104,83,486,455
"PA14_25340",36,33,196,233
"PA14_25350",263,207,708,774
"PA14_25360",44,27,132,114
"PA14_25370",16,32,49,52
"PA14_25390",385,250,1654,1521
"PA14_25400",6,6,25,34
"PA14_25410",2,0,2,4
"PA14_25420",2,1,33,31
"PA14_25430",46,41,368,366
"PA14_25440",25,15,101,97
"PA14_25450",61,36,293,337
"PA14_25470",0,0,4,2
"PA14_25480",5,4,38,37
"PA14_25490",39,46,287,313
"PA14_25500",9,5,49,46
"PA14_25510",23,22,121,112
"PA14_25520",87,49,360,325
"PA14_25530",21,18,103,68
"PA14_25540",24,28,93,129
"PA14_25550",46,33,121,137
"PA14_25560",13,4,25,35
"PA14_25580",357,226,1250,1392
"PA14_25590",51,38,272,349
"PA14_25600",201,139,1366,1420
"PA14_25610",5,3,21,30
"PA14_25620",63,47,1401,1270
"PA14_25630",786,521,5986,6129
"PA14_25640",46,39,206,208
"PA14_25650",102,65,892,1066
"PA14_25660",821,518,5389,5401
"PA14_25670",2905,1838,9698,9868
"PA14_25690",206,156,1273,1319
"PA14_25710",32,15,157,111
"PA14_25730",43,39,226,218
"PA14_25740",27,13,78,114
"PA14_25760",61,42,164,113
"PA14_25770",135,90,591,675
"PA14_25780",15,15,55,50
"PA14_25790",8,7,72,64
"PA14_25800",39,21,139,142
"PA14_25810",35,33,165,187
"PA14_25820",37,22,125,153
"PA14_25830",13,4,37,21
"PA14_25840",27,24,151,109
"PA14_25860",1793,1169,2451,2739
"PA14_25880",608,383,938,902
"PA14_25900",128,106,417,427
"PA14_25910",5,1,18,20
"PA14_25920",3,2,11,25
"PA14_25930",1,1,1,0
"PA14_25960",74,46,357,401
"PA14_25970",108,67,205,189
"PA14_25980",3,7,26,39
"PA14_25990",4,7,36,71
"PA14_26000",7,2,30,36
"PA14_26010",3,3,23,19
"PA14_26020",5,3,21,20
"PA14_26050",18,8,57,43
"PA14_26060",9,7,6,10
"PA14_26090",2,3,8,25
"PA14_26110",0,0,10,12
"PA14_26130",0,0,4,1
"PA14_26140",12,12,31,38
"PA14_26150",2,0,12,9
"PA14_26160",0,0,5,5
"PA14_26165",1,0,17,14
"PA14_26190",6,3,18,33
"PA14_26200",0,0,3,4
"PA14_26210",5,5,12,10
"PA14_26220",3,2,21,23
"PA14_26230",3,6,9,16
"PA14_26240",0,0,8,6
"PA14_26260",1,2,9,9
"PA14_26270",7,3,64,50
"PA14_26280",32,34,111,98
"PA14_26300",2,2,3,0
"PA14_26310",4,4,8,12
"PA14_26330",3,8,22,27
"PA14_26340",1,0,1,2
"PA14_26350",13,5,31,18
"PA14_26360",5,5,9,5
"PA14_26390",1,0,1,3
"PA14_26400",2,0,2,2
"PA14_26420",0,3,22,22
"PA14_26450",2,1,8,11
"PA14_26460",0,0,1,0
"PA14_26470",1,0,6,0
"PA14_26480",0,1,1,3
"PA14_26485",22,11,128,117
"PA14_26500",4,3,27,35
"PA14_26510",26,19,92,113
"PA14_26530",31,15,101,94
"PA14_26540",26,17,183,228
"PA14_26550",5,9,372,385
"PA14_26560",11,13,407,388
"PA14_26570",21,19,262,246
"PA14_26580",0,1,7,14
"PA14_26590",78,62,310,310
"PA14_26600",18,12,82,89
"PA14_26610",11,5,34,49
"PA14_26620",81,54,289,193
"PA14_26640",12,3,78,71
"PA14_26650",0,0,7,4
"PA14_26670",1,1,6,1
"PA14_26690",1,0,0,1
"PA14_26700",2,5,11,6
"PA14_26720",2,3,9,8
"PA14_26730",2,0,5,17
"PA14_26750",1,1,3,3
"PA14_26760",67,65,125,168
"PA14_26770",33,20,124,142
"PA14_26780",1,1,9,14
"PA14_26810",2,1,15,17
"PA14_26830",2,1,2,6
"PA14_26850",0,0,0,4
"PA14_26860",64,42,180,257
"PA14_26870",30,24,122,156
"PA14_26880",9,4,51,66
"PA14_26890",6,6,41,46
"PA14_26910",11,10,48,58
"PA14_26920",10,1,12,20
"PA14_26930",10,17,30,27
"PA14_26940",7,8,18,16
"PA14_26960",9,7,31,17
"PA14_26970",10,6,25,13
"PA14_26980",5,2,19,18
"PA14_26990",1,0,2,4
"PA14_27000",0,0,8,8
"PA14_27020",3,0,6,8
"PA14_27050",24,18,149,188
"PA14_27070",32,26,82,75
"PA14_27090",1,0,7,6
"PA14_27100",0,2,5,7
"PA14_27110",0,0,1,0
"PA14_27120",6,7,98,93
"PA14_27130",8,2,104,109
"PA14_27140",5,4,41,43
"PA14_27150",1,3,7,4
"PA14_27160",36,22,139,144
"PA14_27170",15,6,96,100
"PA14_27180",131,85,451,431
"PA14_27200",32,16,130,207
"PA14_27210",521,324,5888,5393
"PA14_27220",1,0,38,34
"PA14_27230",0,1,26,32
"PA14_27250",0,1,20,18
"PA14_27270",6,3,27,33
"PA14_27280",3,2,9,16
"PA14_27290",3,6,11,10
"PA14_27310",21,0,57,59
"PA14_27330",4,7,15,31
"PA14_27350",9,13,40,55
"PA14_27360",0,1,15,8
"PA14_27370",8,3,901,831
"PA14_27390",0,0,1,2
"PA14_27400",0,1,7,6
"PA14_27410",0,0,4,4
"PA14_27420",2,1,6,10
"PA14_27430",0,0,10,9
"PA14_27440",0,0,8,12
"PA14_27450",4,1,12,16
"PA14_27460",10,20,45,89
"PA14_27470",7,9,30,25
"PA14_27480",2,1,20,27
"PA14_27490",3,1,9,9
"PA14_27500",45,40,72,110
"PA14_27510",221,126,432,499
"PA14_27520",37,27,70,66
"PA14_27530",19,14,22,44
"PA14_27550",12,10,73,90
"PA14_27560",84,33,448,427
"PA14_27570",14,12,49,56
"PA14_27580",10,6,38,65
"PA14_27590",3,1,16,20
"PA14_27600",84,151,592,510
"PA14_27610",202,272,523,757
"PA14_27620",178,252,521,818
"PA14_27630",2,1,40,37
"PA14_27640",4,5,20,19
"PA14_27650",2,2,12,18
"PA14_27660",0,1,4,6
"PA14_27675",2,6,47,29
"PA14_27680",6,2,28,39
"PA14_27690",3,4,17,17
"PA14_27700",22,17,79,53
"PA14_27710",2,4,23,31
"PA14_27720",7,5,12,6
"PA14_27730",5,4,33,36
"PA14_27740",10,4,13,18
"PA14_27755",57,25,74,45
"PA14_27770",54,34,228,230
"PA14_27780",48,47,174,185
"PA14_27800",13,9,39,30
"PA14_27810",2,3,6,6
"PA14_27830",2,1,2,1
"PA14_27840",1,2,1,3
"PA14_27850",2,3,56,37
"PA14_27870",3,0,4,0
"PA14_27880",4,3,6,4
"PA14_27890",0,1,7,7
"PA14_27900",5,2,38,57
"PA14_27910",1,3,18,18
"PA14_27920",106,74,451,424
"PA14_27930",1,2,22,24
"PA14_27940",151,130,778,702
"PA14_27950",73,67,633,648
"PA14_27960",10,8,60,45
"PA14_27980",2,1,15,12
"PA14_27990",386,272,601,759
"PA14_28000",15,17,104,111
"PA14_28010",4,1,26,42
"PA14_28020",0,0,5,2
"PA14_28030",5,1,18,29
"PA14_28040",3,3,15,13
"PA14_28050",264,177,36,38
"PA14_28060",33,29,6,3
"PA14_28070",1,1,3,1
"PA14_28090",5,2,11,7
"PA14_28100",2,2,16,16
"PA14_28110",0,0,1,3
"PA14_28130",2,0,4,2
"PA14_28140",23,8,23,40
"PA14_28150",8,2,13,7
"PA14_28170",7,7,44,48
"PA14_28180",0,1,22,12
"PA14_28190",371,427,1219,1335
"PA14_28200",18,17,192,172
"PA14_28210",13,10,42,52
"PA14_28220",2,4,46,42
"PA14_28230",8,4,32,28
"PA14_28240",19,25,193,167
"PA14_28250",6,9,117,129
"PA14_28260",14,12,106,105
"PA14_28280",51,48,342,363
"PA14_28290",3,7,67,74
"PA14_28300",3,1,20,24
"PA14_28310",2,1,25,26
"PA14_28320",12,7,66,67
"PA14_28340",65,44,255,242
"PA14_28350",5,6,69,65
"PA14_28360",11,12,19,16
"PA14_28370",6,4,10,5
"PA14_28380",8,7,25,16
"PA14_28390",3,1,29,17
"PA14_28400",6,2,16,22
"PA14_28410",139,86,288,244
"PA14_28420",0,2,2,8
"PA14_28430",13,11,118,79
"PA14_28440",66,46,314,308
"PA14_28450",7,5,42,29
"PA14_28460",0,5,6,5
"PA14_28470",3,3,25,48
"PA14_28490",0,0,5,6
"PA14_28500",1,0,1,1
"PA14_28510",2,2,5,8
"PA14_28520",0,0,7,12
"PA14_28530",4,7,72,93
"PA14_28540",0,0,3,0
"PA14_28560",3,0,1,14
"PA14_28570",4,4,13,19
"PA14_28580",11,5,37,47
"PA14_28590",15,3,68,59
"PA14_28600",129,68,865,962
"PA14_28610",7,4,72,55
"PA14_28620",7,6,74,73
"PA14_28630",2,5,39,40
"PA14_28650",572,414,1917,2016
"PA14_28660",1757,1097,9382,10730
"PA14_28670",1863,1205,10148,9747
"PA14_28680",1163,773,5019,5022
"PA14_28690",400,276,1057,1113
"PA14_28710",652,437,1790,1518
"PA14_28720",943,609,2393,2560
"PA14_28730",120,91,562,613
"PA14_28740",3058,2444,19492,11736
"PA14_28770",538,360,3047,3343
"PA14_28800",78,64,414,369
"PA14_28810",2677,1858,5797,6007
"PA14_28820",950,674,2119,2284
"PA14_28830",997,703,1306,1336
"PA14_28840",1764,1183,3457,3896
"PA14_28880",0,0,22,15
"PA14_28895",5,2,44,63
"PA14_28910",5,2,5,6
"PA14_28920",4,2,38,53
"PA14_28930",0,0,1,3
"PA14_28940",0,0,3,2
"PA14_28950",1,1,5,4
"PA14_28960",0,0,0,1
"PA14_28970",0,0,1,3
"PA14_28980",1,1,0,7
"PA14_28990",5,2,34,30
"PA14_29000",1,0,3,6
"PA14_29010",1,0,3,2
"PA14_29020",15,14,27,18
"PA14_29030",5,3,7,22
"PA14_29040",6,0,3,2
"PA14_29050",7,5,18,28
"PA14_29060",6,6,13,26
"PA14_29070",9,5,20,34
"PA14_29090",7,1,10,23
"PA14_29100",0,0,1,1
"PA14_29110",2,0,7,7
"PA14_29120",30,20,44,65
"PA14_29130",189,124,624,637
"PA14_29150",24,18,63,77
"PA14_29160",143,86,225,232
"PA14_29180",10,4,25,25
"PA14_29200",6,3,15,28
"PA14_29210",0,3,3,3
"PA14_29220",1,0,6,12
"PA14_29230",3,1,9,16
"PA14_29240",35,26,57,55
"PA14_29250",5,4,16,21
"PA14_29260",33,25,63,82
"PA14_29270",25,9,89,86
"PA14_29280",10,12,3,6
"PA14_29290",0,1,8,7
"PA14_29300",2,0,3,2
"PA14_29320",25,16,31,47
"PA14_29330",0,3,5,8
"PA14_29340",0,0,3,5
"PA14_29350",10,3,35,45
"PA14_29360",2,1,13,14
"PA14_29375",0,0,0,4
"PA14_29390",182,108,445,398
"PA14_29400",167,114,270,297
"PA14_29410",14,14,40,47
"PA14_29420",12,7,34,33
"PA14_29440",1,0,11,12
"PA14_29460",0,1,9,8
"PA14_29470",11,10,75,85
"PA14_29480",2,3,7,20
"PA14_29490",9,8,37,31
"PA14_29500",3,3,14,6
"PA14_29510",7,4,13,19
"PA14_29520",0,0,5,1
"PA14_29530",1,0,0,3
"PA14_29540",2,0,3,7
"PA14_29550",5,4,53,78
"PA14_29570",7,4,13,27
"PA14_29575",25,25,78,80
"PA14_29590",3,4,32,22
"PA14_29600",15,10,105,123
"PA14_29620",6,3,24,23
"PA14_29640",232,135,347,337
"PA14_29650",87,58,168,214
"PA14_29660",162,95,165,193
"PA14_29680",11,6,12,10
"PA14_29690",0,0,1,6
"PA14_29710",78,74,166,200
"PA14_29720",28,15,91,103
"PA14_29730",24,19,132,155
"PA14_29740",11,11,48,56
"PA14_29750",2,1,8,11
"PA14_29760",12,1,36,54
"PA14_29770",8,6,166,133
"PA14_29800",153,125,458,495
"PA14_29820",82,41,254,296
"PA14_29830",3,5,35,42
"PA14_29850",3,4,30,22
"PA14_29860",22,6,81,103
"PA14_29880",14,5,42,31
"PA14_29890",6,6,13,12
"PA14_29900",5,4,22,14
"PA14_29920",1,1,2,7
"PA14_29930",12,7,58,52
"PA14_29940",0,2,10,11
"PA14_29970",1,0,10,4
"PA14_29980",4,4,5,10
"PA14_29990",29,16,88,100
"PA14_30010",3,2,11,11
"PA14_30020",26,20,20,18
"PA14_30030",0,6,14,8
"PA14_30040",8,1,22,28
"PA14_30050",7,5,19,27
"PA14_30070",6,0,4,6
"PA14_30080",4,1,1,9
"PA14_30090",2,1,2,10
"PA14_30100",3,5,7,11
"PA14_30110",49,27,89,95
"PA14_30130",17,8,35,36
"PA14_30140",3,5,9,30
"PA14_30150",3,1,19,10
"PA14_30160",0,1,2,4
"PA14_30180",34,21,131,178
"PA14_30190",4056,2779,7539,7654
"PA14_30200",8,5,30,40
"PA14_30210",780,539,1605,1867
"PA14_30230",622,473,1333,1275
"PA14_30240",10,7,28,30
"PA14_30260",7,2,36,50
"PA14_30270",2,1,11,17
"PA14_30280",19,33,95,86
"PA14_30290",287,229,1603,1539
"PA14_30310",259,184,1922,2030
"PA14_30320",166,101,502,524
"PA14_30330",138,90,549,528
"PA14_30340",114,87,367,386
"PA14_30350",19,13,127,132
"PA14_30360",0,0,17,12
"PA14_30370",1,0,2,1
"PA14_30380",0,0,7,2
"PA14_30390",0,0,5,2
"PA14_30400",0,0,4,2
"PA14_30410",12,11,28,21
"PA14_30420",59,47,51,97
"PA14_30430",1,3,70,66
"PA14_30440",3,7,66,97
"PA14_30450",8,5,30,29
"PA14_30460",9,4,39,42
"PA14_30470",12,6,21,23
"PA14_30490",19,6,11,15
"PA14_30500",11,3,6,6
"PA14_30520",4,2,6,1
"PA14_30540",2,2,3,1
"PA14_30550",12,6,15,17
"PA14_30560",1,1,10,3
"PA14_30570",2,5,10,16
"PA14_30580",241,181,1629,1739
"PA14_30590",3,4,33,37
"PA14_30600",1,0,4,8
"PA14_30620",8,2,12,14
"PA14_30630",124,108,300,329
"PA14_30650",218,120,532,504
"PA14_30660",54,59,135,182
"PA14_30670",43,30,263,218
"PA14_30680",182,276,495,753
"PA14_30690",13,18,169,163
"PA14_30700",272,185,1152,1014
"PA14_30710",133,98,474,468
"PA14_30720",1011,877,4255,3410
"PA14_30730",2,2,35,51
"PA14_30740",1,1,16,17
"PA14_30750",25,23,164,151
"PA14_30760",0,0,11,3
"PA14_30770",5,3,13,18
"PA14_30790",24,24,103,104
"PA14_30800",3,5,21,33
"PA14_30810",5,7,18,27
"PA14_30820",77,51,57,98
"PA14_30830",2,2,20,18
"PA14_30840",47,29,63,38
"PA14_30850",2,2,225,278
"PA14_30860",0,3,9,14
"PA14_30870",1,0,4,7
"PA14_30880",4,1,16,19
"PA14_30900",0,1,2,10
"PA14_30910",3,0,3,11
"PA14_30930",0,0,3,1
"PA14_30940",0,0,6,5
"PA14_30950",1,1,11,10
"PA14_30960",5,7,72,94
"PA14_30970",3,2,22,32
"PA14_30980",19,18,145,166
"PA14_30990",10,7,92,120
"PA14_31000",12,15,196,162
"PA14_31010",14,8,107,83
"PA14_31030",18,8,29,46
"PA14_31040",5,4,39,54
"PA14_31050",15,7,52,37
"PA14_31070",1,1,5,4
"PA14_31080",0,0,2,8
"PA14_31100",0,0,3,2
"PA14_31130",1,2,4,4
"PA14_31150",4,5,37,24
"PA14_31160",11,7,80,76
"PA14_31190",8,1,12,17
"PA14_31200",4,2,14,10
"PA14_31220",0,0,7,2
"PA14_31230",0,0,7,11
"PA14_31240",17,12,71,53
"PA14_31250",0,0,6,5
"PA14_31260",1,1,2,4
"PA14_31270",1,0,15,11
"PA14_31280",7,11,30,43
"PA14_31290",10,12,18,14
"PA14_31300",15,6,57,66
"PA14_31310",18,24,131,138
"PA14_31330",6,4,83,50
"PA14_31350",9,5,28,20
"PA14_31360",4,0,7,10
"PA14_31370",67,47,79,78
"PA14_31380",17,7,72,49
"PA14_31390",16,11,20,37
"PA14_31400",4,5,20,15
"PA14_31420",19,9,159,145
"PA14_31430",6,4,59,37
"PA14_31440",50,26,135,159
"PA14_31460",1,1,13,22
"PA14_31470",31,32,155,121
"PA14_31480",34,29,71,87
"PA14_31500",140,104,297,301
"PA14_31510",31,34,37,51
"PA14_31530",81,76,56,57
"PA14_31540",57,33,15,45
"PA14_31560",17,10,8,21
"PA14_31580",68,50,57,58
"PA14_31610",7,4,40,38
"PA14_31620",1,1,12,15
"PA14_31630",2,0,19,10
"PA14_31640",9,2,8,12
"PA14_31650",2,2,8,8
"PA14_31660",1,7,14,17
"PA14_31680",44,20,166,180
"PA14_31690",53,35,167,159
"PA14_31700",45,27,317,269
"PA14_31720",28,15,95,73
"PA14_31730",15,7,22,38
"PA14_31740",0,3,6,4
"PA14_31750",13,5,36,54
"PA14_31760",13,8,91,85
"PA14_31770",1,0,7,5
"PA14_31780",7,5,58,58
"PA14_31800",77,55,457,460
"PA14_31810",115,101,289,268
"PA14_31820",1,1,24,24
"PA14_31840",0,5,11,11
"PA14_31850",2,3,12,13
"PA14_31870",20,19,136,132
"PA14_31890",30,23,120,123
"PA14_31900",44,45,81,90
"PA14_31920",41,29,106,106
"PA14_31930",0,1,2,3
"PA14_31950",2,1,12,10
"PA14_31960",0,2,1,6
"PA14_31970",4,1,7,5
"PA14_31990",1,0,0,3
"PA14_32025",53,27,95,115
"PA14_32060",0,0,5,2
"PA14_32080",1,1,8,0
"PA14_32100",2,0,2,6
"PA14_32110",6,4,7,15
"PA14_32130",2,0,9,7
"PA14_32140",3,2,1,6
"PA14_32150",2,3,1,8
"PA14_32160",4,2,18,20
"PA14_32190",3,0,17,25
"PA14_32200",1,0,3,4
"PA14_32220",2,0,6,9
"PA14_32230",11,1,12,17
"PA14_32240",6,3,6,16
"PA14_32250",0,0,5,2
"PA14_32270",27,21,128,89
"PA14_32280",17,21,44,55
"PA14_32290",3,3,15,12
"PA14_32300",3,4,75,53
"PA14_32310",87,51,571,595
"PA14_32330",30,22,145,198
"PA14_32340",0,1,19,21
"PA14_32350",0,0,6,2
"PA14_32360",7,4,21,27
"PA14_32370",5,2,13,7
"PA14_32380",2,4,9,10
"PA14_32390",6,8,52,76
"PA14_32400",0,1,4,7
"PA14_32410",2,4,11,12
"PA14_32420",77,59,183,207
"PA14_32440",5,2,9,8
"PA14_32450",5,3,20,15
"PA14_32460",1,0,1,6
"PA14_32470",2,0,7,4
"PA14_32480",0,1,4,3
"PA14_32500",24,14,77,82
"PA14_32520",21,32,51,51
"PA14_32530",67,58,852,844
"PA14_32540",25,27,198,183
"PA14_32570",3,1,16,21
"PA14_32580",2,1,12,15
"PA14_32590",9,13,73,78
"PA14_32600",6,1,14,25
"PA14_32610",21,18,53,50
"PA14_32630",14,8,19,32
"PA14_32640",1,1,10,7
"PA14_32650",3,1,6,6
"PA14_32660",1,0,4,10
"PA14_32670",4,1,3,4
"PA14_32690",3,0,4,3
"PA14_32700",4,3,18,21
"PA14_32710",2,1,23,16
"PA14_32720",1,1,6,7
"PA14_32740",13,10,40,52
"PA14_32750",7,4,10,9
"PA14_32770",18,18,140,127
"PA14_32780",91,48,703,561
"PA14_32790",932,661,3717,3910
"PA14_32810",12,9,107,98
"PA14_32830",20,9,152,190
"PA14_32860",4,1,23,11
"PA14_32880",0,2,16,9
"PA14_32890",0,1,3,4
"PA14_32905",7,6,6,16
"PA14_32930",10,8,70,90
"PA14_32940",22,10,77,94
"PA14_32950",4,3,30,48
"PA14_32970",9,5,34,54
"PA14_32985",7,8,123,108
"PA14_33000",64,60,443,407
"PA14_33010",11,13,125,125
"PA14_33030",18,14,61,68
"PA14_33040",15,19,38,56
"PA14_33050",0,2,14,19
"PA14_33060",0,0,12,1
"PA14_33070",8,10,19,33
"PA14_33080",2,1,16,18
"PA14_33110",7,3,17,27
"PA14_33120",23,18,110,129
"PA14_33130",18,17,54,61
"PA14_33150",2,1,8,12
"PA14_33160",0,1,1,2
"PA14_33170",2,2,4,21
"PA14_33190",4,2,6,8
"PA14_33200",5,0,6,4
