"gene_name","WT1","WT2","A1","A2"
"PA14_04110",11,11,57,83
"PA14_04140",137,86,567,625
"PA14_04150",113,85,258,173
"PA14_04160",37,25,111,112
"PA14_04180",50,32,15,28
"PA14_04190",1,1,7,15
"PA14_04210",2,6,32,31
"PA14_04220",8,4,28,21
"PA14_04230",70,54,153,159
"PA14_04240",19,10,27,49
"PA14_04250",5,4,19,31
"PA14_04270",37,26,46,38
"PA14_04290",2,2,8,12
"PA14_04300",7,0,12,9
"PA14_04310",2,5,17,11
"PA14_04320",99,75,375,361
"PA14_04330",67,43,160,190
"PA14_04340",11,8,51,31
"PA14_04350",7,1,15,21
"PA14_04370",3,7,19,16
"PA14_04380",7,1,14,8
"PA14_04390",101,66,396,393
"PA14_04410",311,204,618,656
"PA14_04420",37,32,110,89
"PA14_04430",1,2,9,9
"PA14_04440",8,7,79,98
"PA14_04460",32,16,138,139
"PA14_04480",40,28,209,185
"PA14_04490",8,6,54,53
"PA14_04510",0,0,2,8
"PA14_04520",0,0,4,7
"PA14_04530",14,11,31,51
"PA14_04550",8,6,26,34
"PA14_04560",8,16,100,88
"PA14_04570",3,0,10,12
"PA14_04580",1,1,11,29
"PA14_04590",0,1,7,13
"PA14_04610",5,1,15,24
"PA14_04630",9,9,39,53
"PA14_04640",4,2,10,12
"PA14_04650",0,0,1,1
"PA14_04660",27,19,104,118
"PA14_04670",20,16,42,55
"PA14_04680",5,10,105,92
"PA14_04690",57,41,480,460
"PA14_04700",43,37,179,217
"PA14_04710",8,8,20,42
"PA14_04730",4,4,21,20
"PA14_04750",0,0,9,1
"PA14_04760",3,0,10,5
"PA14_04780",5,0,15,16
"PA14_04790",0,0,2,2
"PA14_04810",0,3,8,5
"PA14_04820",11,15,28,39
"PA14_04830",3,0,9,6
"PA14_04840",3,2,7,17
"PA14_04860",0,0,2,4
"PA14_04870",7,7,22,21
"PA14_04890",7,7,8,25
"PA14_04900",214,161,1189,1222
"PA14_04910",149,102,335,431
"PA14_04920",118,80,269,269
"PA14_04930",136,90,821,870
"PA14_04940",50,34,144,152
"PA14_04950",10,5,66,49
"PA14_04960",4,3,33,31
"PA14_04970",2,0,11,10
"PA14_04980",37,23,256,285
"PA14_05000",15,7,126,95
"PA14_05010",8,8,48,42
"PA14_05020",1,2,5,5
"PA14_05030",6,4,8,10
"PA14_05040",1,0,12,16
"PA14_05050",0,3,3,6
"PA14_05060",0,0,4,0
"PA14_05070",1,2,9,7
"PA14_05080",2,0,18,10
"PA14_05110",0,2,9,9
"PA14_05130",4,3,24,37
"PA14_05150",3,2,11,10
"PA14_05160",0,0,4,5
"PA14_05180",37,20,289,319
"PA14_05190",161,118,459,602
"PA14_05200",19,23,50,57
"PA14_05210",89,66,296,291
"PA14_05220",531,350,240,216
"PA14_05230",67,50,59,49
"PA14_05250",6,5,10,10
"PA14_05260",1,2,7,12
"PA14_05270",0,0,6,4
"PA14_05280",4,0,1,3
"PA14_05290",1,1,5,3
"PA14_05300",4,3,13,23
"PA14_05310",104,65,259,378
"PA14_05320",1048,701,4944,5486
"PA14_05330",878,509,4708,6002
"PA14_05340",33,34,236,300
"PA14_05360",964,683,2041,2096
"PA14_05380",152,113,265,282
"PA14_05390",722,495,940,876
"PA14_05400",35,39,82,89
"PA14_05410",68,49,149,141
"PA14_05420",11,8,33,59
"PA14_05430",5,4,10,18
"PA14_05440",0,1,6,2
"PA14_05450",1,0,3,8
"PA14_05460",4,0,9,7
"PA14_05480",58,25,170,123
"PA14_05500",158,116,630,579
"PA14_05510",331,252,627,654
"PA14_05520",7,4,44,40
"PA14_05530",227,188,812,881
"PA14_05540",1143,788,2249,2110
"PA14_05550",234,157,710,656
"PA14_05560",2,1,12,15
"PA14_05580",4,5,30,28
"PA14_05590",3,1,18,22
"PA14_05600",1,1,7,5
"PA14_05620",7,2,21,38
"PA14_05630",0,0,2,4
"PA14_05640",13,12,16,11
"PA14_05650",19,14,11,20
"PA14_05660",93,75,185,211
"PA14_05690",11,18,51,52
"PA14_05700",4,1,19,17
"PA14_05740",1,0,4,3
"PA14_05750",5,5,21,11
"PA14_05770",1,2,31,51
"PA14_05790",27,23,93,162
"PA14_05810",34,35,39,42
"PA14_05820",1,2,12,5
"PA14_05840",0,1,5,13
"PA14_05850",12,12,23,15
"PA14_05860",304,194,241,248
"PA14_05870",24,16,57,74
"PA14_05880",45,25,19,22
"PA14_05890",25,16,55,48
"PA14_05910",7,13,57,50
"PA14_05920",7,11,17,33
"PA14_05950",3,6,8,7
"PA14_05960",220,154,2455,2469
"PA14_05970",15,11,59,51
"PA14_05990",2,5,44,42
"PA14_06000",740,532,391,457
"PA14_06010",181,150,216,282
"PA14_06030",47,39,122,127
"PA14_06040",61,41,177,176
"PA14_06060",16,12,66,76
"PA14_06070",35,26,84,92
"PA14_06080",16,11,16,27
"PA14_06090",2,3,1,3
"PA14_06120",0,0,5,2
"PA14_06130",0,0,4,4
"PA14_06150",95,74,153,146
"PA14_06160",51,55,100,105
"PA14_06170",0,0,2,3
"PA14_06180",1,0,2,2
"PA14_06190",33,23,118,78
"PA14_06210",3,4,10,10
"PA14_06230",24,12,96,91
"PA14_06240",7,3,10,17
"PA14_06250",7,5,25,14
"PA14_06260",4,3,1,6
"PA14_06270",2,5,8,6
"PA14_06280",13,13,54,56
"PA14_06290",3,1,29,20
"PA14_06300",17,12,17,18
"PA14_06310",28,18,20,26
"PA14_06320",4,1,12,14
"PA14_06330",2,2,11,8
"PA14_06340",1,1,4,4
"PA14_06350",2,0,0,0
"PA14_06360",0,0,0,4
"PA14_06390",1,1,1,11
"PA14_06400",7,0,9,13
"PA14_06420",113,71,78,67
"PA14_06430",27,21,13,12
"PA14_06450",34,16,12,10
"PA14_06460",43,30,42,34
"PA14_06480",5,6,2,4
"PA14_06500",180,131,577,572
"PA14_06510",18,26,82,86
"PA14_06530",43,29,91,82
"PA14_06540",5,3,24,9
"PA14_06570",2,0,5,2
"PA14_06580",36,19,79,82
"PA14_06600",240,237,400,303
"PA14_06620",34,24,62,52
"PA14_06640",43,36,88,101
"PA14_06650",0,0,6,9
"PA14_06660",0,1,2,3
"PA14_06670",1,1,2,3
"PA14_06680",1,0,0,0
"PA14_06690",0,0,1,2
"PA14_06700",1,0,0,1
"PA14_06710",0,0,3,1
"PA14_06720",2,3,14,10
"PA14_06740",0,1,1,1
"PA14_06750",0,0,16,15
"PA14_06770",65,65,38,37
"PA14_06790",54,47,36,19
"PA14_06800",14,12,3,1
"PA14_06810",933,653,470,440
"PA14_06830",1153,904,338,319
"PA14_06840",94,68,32,29
"PA14_06860",2,1,0,2
"PA14_06870",8,10,30,20
"PA14_06880",2,3,13,14
"PA14_06890",69,58,271,423
"PA14_06900",14,7,19,30
"PA14_06920",14,9,13,29
"PA14_06930",5,12,19,31
"PA14_06950",14,10,57,62
"PA14_06960",8,5,73,74
"PA14_06970",5,3,37,72
"PA14_06980",4,3,42,46
"PA14_06990",0,2,8,3
"PA14_07000",0,2,5,2
"PA14_07010",3,4,25,9
"PA14_07020",3,5,12,17
"PA14_07030",25,16,68,61
"PA14_07040",4,3,19,18
"PA14_07050",15,2,20,31
"PA14_07060",4,6,10,13
"PA14_07070",72,41,278,270
"PA14_07090",15,10,101,97
"PA14_07110",3,1,10,8
"PA14_07130",160,134,671,631
"PA14_07140",62,47,261,204
"PA14_07150",17,10,82,69
"PA14_07170",36,20,123,99
"PA14_07190",318,183,790,789
"PA14_07200",15,9,52,47
"PA14_07210",64,40,222,202
"PA14_07230",266,205,1623,1625
"PA14_07240",8,7,75,50
"PA14_07260",13,6,23,24
"PA14_07280",14,12,45,35
"PA14_07290",48,28,147,154
"PA14_07300",66,68,296,381
"PA14_07310",5,3,6,9
"PA14_07330",1,1,6,14
"PA14_07340",0,1,7,1
"PA14_07355",8,10,2,7
"PA14_07360",3,4,4,0
"PA14_07370",6,3,51,44
"PA14_07380",2,0,14,8
"PA14_07400",0,0,1,2
"PA14_07410",0,0,1,0
"PA14_07430",10,4,29,18
"PA14_07440",4,8,12,26
"PA14_07450",3,3,17,24
"PA14_07470",7,4,5,14
"PA14_07480",11,14,38,28
"PA14_07500",22,4,71,81
"PA14_07520",5,2,30,21
"PA14_07530",22,9,70,79
"PA14_07550",1,1,19,15
"PA14_07560",7,2,8,17
"PA14_07570",5,4,130,125
"PA14_07580",11,9,88,89
"PA14_07590",18,3,151,179
"PA14_07600",9,6,112,113
"PA14_07620",1,0,78,57
"PA14_07630",0,0,1,2
